CVE Estado,Estado,CVE Municipio,Municipio,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,009,Tepezalá,Locomotoras de recorrido,0,0,0,0,0,0,0
01,Aguascalientes,009,Tepezalá,Maquinaria agrícola,6.467860757,6.273824934,1.291222356,38.48769699,50.76954863,6.419381472,0
01,Aguascalientes,009,Tepezalá,Motocicletas,0.156381877,0.138339684,0.431058717,108.0873681,5.260611688,8.911161764,0.283591005
01,Aguascalientes,009,Tepezalá,Pickup y Veh<3.8Ton,0.772092474,0.690318748,1.068482457,228.8712814,40.10720445,22.36296542,0.292500161
01,Aguascalientes,009,Tepezalá,Taxi,0.000536208,0.000473401,0.011020389,0.853914225,0.262397938,0.06700164,0.002544176
01,Aguascalientes,009,Tepezalá,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,009,Tepezalá,Tractocamión,2.714993419,2.497760777,0.370223758,4.56949819,11.36811287,0.854119776,0.026028299
01,Aguascalientes,009,Tepezalá,Veh>3.8Ton,5.471993864,5.032158957,0.780417724,40.44678561,24.76278808,3.899720666,0.068612204
01,Aguascalientes,010,El Llano,Autobús,0.237552653,0.218545306,0.047441633,0.812143673,2.097190204,0.121097143,0.002506122
01,Aguascalientes,010,El Llano,Autos particulares,0.385866038,0.341381584,0.685967948,149.4114697,27.82485433,18.37029894,0.22971545
01,Aguascalientes,010,El Llano,Camionetas particulares,0.112173629,0.099233681,0.274160574,53.23601436,10.69942689,5.904938642,0.074432115
01,Aguascalientes,010,El Llano,Combi,0.096308767,0.088042389,0.32557659,18.4693632,4.350969653,1.427624277,0.064312139
01,Aguascalientes,010,El Llano,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,010,El Llano,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,010,El Llano,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,010,El Llano,Locomotoras de patio,0,0,0,0,0,0,0
01,Aguascalientes,010,El Llano,Locomotoras de recorrido,0,0,0,0,0,0,0
01,Aguascalientes,010,El Llano,Maquinaria agrícola,11.99800193,11.63806187,2.395241471,71.3953933,94.17845638,11.90807195,0
01,Aguascalientes,010,El Llano,Motocicletas,0.149727329,0.132452889,0.412715793,103.4879056,5.036755872,8.531963391,0.271523303
01,Aguascalientes,010,El Llano,Pickup y Veh<3.8Ton,0.903778842,0.808477811,1.222245757,261.5637324,45.73496342,25.39297918,0.33394983
01,Aguascalientes,010,El Llano,Taxi,0,0,0,0,0,0,0
01,Aguascalientes,010,El Llano,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,010,El Llano,Tractocamión,0.387856203,0.356822968,0.052889108,0.652785456,1.624016124,0.122017111,0.003718328
01,Aguascalientes,010,El Llano,Veh>3.8Ton,4.646983695,4.27361047,0.656049942,32.12416492,20.87035502,3.175015938,0.0570718
